epoch,train_loss,val_loss,train_r2,val_r2,train_rmse,val_rmse
1,801.7698974609375,803.8772583007812,-1.2565710099195755,-1.243368401154041,28.31554162400814,28.352729291917935
2,255.06004333496094,254.71046447753906,0.2821368058326922,0.2891832657885943,15.970599341757996,15.959651138967264
3,125.30152130126953,126.01067352294922,0.6473404883836503,0.6483438730595973,11.193816208124446,11.225447586753466
4,68.98493194580078,70.1500473022461,0.8058428009792509,0.804233298264998,8.305716823116521,8.375562506616859
5,56.52073669433594,57.71560287475586,0.8409231173586809,0.8389339188217998,7.518027447032628,7.597078575002095
6,49.887359619140625,51.46473693847656,0.8595926713705663,0.8563781181401642,7.063098443257083,7.173892732573896
7,45.23081970214844,46.913429260253906,0.872698442760206,0.8690793853097776,6.7253862121181145,6.849337870207156
8,43.41420364379883,45.037296295166016,0.8778112851684928,0.8743150818875589,6.5889455638818895,6.710983258447753
9,42.13467788696289,43.67041015625,0.8814124938674788,0.878129630862985,6.4911230066116365,6.608359112234292
10,40.54097366333008,42.02250671386719,0.8858979537990939,0.8827284106799547,6.367179411900538,6.4824768965162685
11,39.78996658325195,41.25058364868164,0.8880116535158273,0.8848826049859607,6.307928866375393,6.422661726160085
12,39.37019729614258,40.7779655456543,0.8891930887469895,0.8862015333512014,6.274567498731891,6.385762722310805
13,39.09917449951172,40.478233337402344,0.8899558789039177,0.8870379916013352,6.252933271634339,6.36225065031254
14,38.88926696777344,40.25635528564453,0.8905466609379956,0.8876571834059089,6.236125958299226,6.3447896171303055
15,38.70096206665039,40.05412292480469,0.8910766426475181,0.8882215502707682,6.221009730473855,6.328832666835543
16,38.54349136352539,39.883697509765625,0.8915198419054459,0.8886971539613868,6.208340467751861,6.315354108026376
17,38.39183807373047,39.71060562133789,0.8919466681287724,0.8891801989399395,6.196114756339691,6.3016351545720175
18,38.17559814453125,39.46574020385742,0.8925552726136294,0.8898635412467889,6.178640477041147,6.28217639069912
19,38.022560119628906,39.30133056640625,0.8929859961560118,0.8903223567956736,6.166243598790832,6.2690773297516635
20,37.9067268371582,39.17718505859375,0.8933120074318591,0.8906688078321918,6.156843902289403,6.259168080391655
21,37.78192138671875,39.05769729614258,0.8936632707584489,0.8910022605674691,6.146700040405319,6.249615771880906
22,37.678192138671875,38.955284118652344,0.8939552153859094,0.8912880635104818,6.138256441260163,6.241416835835622
23,37.58694839477539,38.858909606933594,0.89421201972337,0.8915570144380445,6.130819553271437,6.233691491157835
24,37.49562454223633,38.76458740234375,0.8944690495255695,0.8918202380223903,6.123367091905917,6.226121377096961
25,37.40327072143555,38.670372009277344,0.8947289781601245,0.892083163529394,6.115821344793808,6.218550635741205
26,37.32020568847656,38.576072692871094,0.8949627636213981,0.8923463232400237,6.109026574543326,6.210963910124667
27,37.22301483154297,38.45957946777344,0.8952363060316085,0.8926714191641018,6.101066696205097,6.201578788322651
28,37.13838577270508,38.35665512084961,0.8954744934234964,0.892958648620109,6.094127154294131,6.193274991541196
29,37.071083068847656,38.28140640258789,0.8956639160133127,0.8931686441076446,6.088602718920628,6.187196974607152
30,37.015228271484375,38.22088623046875,0.895821118618317,0.8933375368588234,6.084014157732079,6.182304281614481
31,36.966880798339844,38.16545104980469,0.8959571919563737,0.8934922389993926,6.0800395392085935,6.177819279471089
32,36.93062210083008,38.124839782714844,0.896059241591708,0.8936055722631209,6.077057026294066,6.1745315435840835
33,36.90010070800781,38.0919303894043,0.8961451436571799,0.8936974120213572,6.074545308745981,6.171866037869284
34,36.877132415771484,38.06675720214844,0.8962097876187105,0.8937676624635273,6.0726544785432575,6.169826351053037
35,36.856658935546875,38.046085357666016,0.8962674099640908,0.8938253510748503,6.070968533565866,6.168150886421798
36,36.839805603027344,38.030941009521484,0.8963148434505619,0.8938676141837175,6.069580348181194,6.166923139582776
37,36.82680130004883,38.0188102722168,0.8963514438931558,0.8939014672532888,6.068508984919511,6.165939528751219
38,36.81302261352539,38.006954193115234,0.8963902238282244,0.893934553838266,6.067373617433279,6.164978036709882
39,36.79802703857422,37.994300842285156,0.8964324286800393,0.89396986535769,6.066137736531723,6.16395172290351
40,36.7786865234375,37.9861946105957,0.8964868623098283,0.8939924872988343,6.064543389525505,6.163294136303711
41,36.74039840698242,37.95915603637695,0.8965946237185449,0.8940679434488724,6.061385848713347,6.16110022937275
42,36.640560150146484,37.87322998046875,0.8968756172015508,0.8943077360250025,6.053144649696262,6.1541230066085575
43,36.39948654174805,37.586761474609375,0.897554115755427,0.8951071794566143,6.033198699011002,6.1308043089475115
44,35.66874694824219,36.78772735595703,0.8996107728932513,0.8973370321794263,5.972331784842683,6.065288728161012
45,34.97906494140625,36.04906463623047,0.9015518739842473,0.8993984073302146,5.914310183056537,6.004087327498699
46,34.42304611206055,35.461212158203125,0.9031167817903951,0.901038918565144,5.867115655248373,5.954931750927388
47,33.93571853637695,34.93794631958008,0.9044883589512545,0.9024991888186547,5.825437197015942,5.910832963261615
48,33.48968505859375,34.4703369140625,0.9057437144074852,0.9038041394856731,5.787027307572839,5.871144429671484
49,33.07295608520508,34.03278350830078,0.9069165927149903,0.905025213317738,5.750909152925742,5.833762380171203
50,32.68828201293945,33.61711120605469,0.9079992529177382,0.9061852238771422,5.717366702682228,5.798026492355367
