Device,Test_Samples,R2,RMSE_dB
ED0,6903,0.8817,4.8838
ED1,6834,0.8369,5.9379
ED2,6948,0.6534,5.4236
ED3,6805,0.8551,5.0196
ED4,6837,0.6533,3.8421
ED5,7066,0.2557,4.382
